WHO 5-19 Reference (2007),,,,,,,,,,,,,,,,,,,
,,,Height,,,Height,,,Weight,,,Weight,,,BMI,,,BMI,
,,Boys,,,Girls,,,Boys,,,Girls,,,Boys,,,Girls,,
Month,Years,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S,L,M,S
217,18.08,1,176.1925,0.04232,1,163.0733,0.04049,,,,,,,-1.0112,21.751,0.12845,-0.8382,21.2757,0.1434
218,18.17,1,176.2368,0.04222,1,163.0862,0.04045,,,,,,,-0.9962,21.7937,0.12855,-0.8301,21.2908,0.14349
219,18.25,1,176.2779,0.04213,1,163.0982,0.04041,,,,,,,-0.9812,21.8358,0.12864,-0.8221,21.3055,0.14359
220,18.33,1,176.3162,0.04204,1,163.1092,0.04037,,,,,,,-0.9661,21.8773,0.12874,-0.814,21.32,0.14368
221,18.42,1,176.3518,0.04195,1,163.1192,0.04034,,,,,,,-0.9509,21.9182,0.12883,-0.806,21.3341,0.14377
222,18.50,1,176.3851,0.04185,1,163.1279,0.0403,,,,,,,-0.9356,21.9585,0.12893,-0.798,21.348,0.14386
223,18.58,1,176.4162,0.04177,1,163.1355,0.04026,,,,,,,-0.9202,21.9982,0.12902,-0.7899,21.3617,0.14396
224,18.67,1,176.4453,0.04168,1,163.1418,0.04023,,,,,,,-0.9048,22.0374,0.12911,-0.7819,21.3752,0.14405
225,18.75,1,176.4724,0.04159,1,163.1469,0.04019,,,,,,,-0.8892,22.076,0.1292,-0.7738,21.3884,0.14414
226,18.83,1,176.4976,0.0415,1,163.1508,0.04016,,,,,,,-0.8735,22.114,0.1293,-0.7658,21.4014,0.14423
227,18.92,1,176.5211,0.04142,1,163.1534,0.04012,,,,,,,-0.8578,22.1514,0.12939,-0.7577,21.4143,0.14432
228,19.00,1,176.5432,0.04134,1,163.1548,0.04009,,,,,,,-0.8419,22.1883,0.12948,-0.7496,21.4269,0.14441
